id,electoral_cycle,source,name,sex,gov_support,exact_seat,committee_membership,party_hierarchy,seniority,g/o_type,seat_type,g/o_change_day,g/o_change_month,g/o_change_year,g/o_change2_day,g/o_change2_month,g/o_change2_year,cm_from_day,cm_from_month,cm_from_year,cm_to_day,cm_to_month,cm_to_year,ph_from_day,ph_from_month,ph_from_year,ph_to_day,ph_to_month,ph_to_year
c014_2010_167_20130211_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc014%26p_ckl%3D39%26p_osszefuz%3D,cseresnyes_peter,m,1,zala_2.,167,99995,3,0,smd,9999,9999,9999,9999,9999,9999,11,2,2013,5,5,2014,99995,99995,99995,99995,99995,99995
c014_2010_178_20100514_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc014%26p_ckl%3D39%26p_osszefuz%3D,cseresnyes_peter,m,1,zala_2.,178,99995,3,0,smd,9999,9999,9999,9999,9999,9999,14,5,2010,5,5,2014,99995,99995,99995,99995,99995,99995
c015_2010_999_99999999_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc015%26p_ckl%3D39%26p_osszefuz%3D,cserna_gabor,m,1,fejer,99995,99995,2,0,rl,9999,9999,9999,9999,9999,9999,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995
c024_2010_163_20100514_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc024%26p_ckl%3D39%26p_osszefuz%3D,cser-palkovics_andras,m,1,fejer,163,2,2,0,rl,9999,9999,9999,9999,9999,9999,14,5,2010,18,6,2012,14,5,2010,5,5,2014
c024_2010_163_20130301_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc024%26p_ckl%3D39%26p_osszefuz%3D,cser-palkovics_andras,m,1,fejer,163,2,2,0,rl,9999,9999,9999,9999,9999,9999,1,3,2013,5,5,2014,14,5,2010,5,5,2014
c024_2010_173_20120618_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc024%26p_ckl%3D39%26p_osszefuz%3D,cser-palkovics_andras,m,1,fejer,173,2,2,0,rl,9999,9999,9999,9999,9999,9999,18,6,2012,28,2,2013,14,5,2010,5,5,2014
c024_2010_175_20100514_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc024%26p_ckl%3D39%26p_osszefuz%3D,cser-palkovics_andras,m,1,fejer,175,2,2,0,rl,9999,9999,9999,9999,9999,9999,14,5,2010,25,2,2013,14,5,2010,5,5,2014
c024_2010_182_20100608_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc024%26p_ckl%3D39%26p_osszefuz%3D,cser-palkovics_andras,m,1,fejer,182,2,2,0,rl,9999,9999,9999,9999,9999,9999,8,6,2010,5,5,2014,14,5,2010,5,5,2014
c024_2010_184_20100705_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc024%26p_ckl%3D39%26p_osszefuz%3D,cser-palkovics_andras,m,1,fejer,184,2,2,0,rl,9999,9999,9999,9999,9999,9999,5,7,2010,7,3,2011,14,5,2010,5,5,2014
c024_2010_185_20100714_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc024%26p_ckl%3D39%26p_osszefuz%3D,cser-palkovics_andras,m,1,fejer,185,2,2,0,rl,9999,9999,9999,9999,9999,9999,14,7,2010,5,5,2014,14,5,2010,5,5,2014
